Representative,RepresentativeLink,Constituency,ConstituencyLink,Province,Caucus,CaucusHomepage
"Ablonczy, Diane (Hon.)",ProfileMP.aspx?Key=170392&Language=E,Calgary—Nose Hill,ProfileConstituency.aspx?Key=514&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Adams, Eve",ProfileMP.aspx?Key=170485&Language=E,Mississauga—Brampton South,ProfileConstituency.aspx?Key=437&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Adler, Mark",ProfileMP.aspx?Key=170479&Language=E,York Centre,ProfileConstituency.aspx?Key=488&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Aglukkaq, Leona (Hon.)",ProfileMP.aspx?Key=170884&Language=E,Nunavut,ProfileConstituency.aspx?Key=573&Language=E,Nunavut,Conservative,http://www.conservative.ca/
"Albas, Dan",ProfileMP.aspx?Key=170448&Language=E,Okanagan—Coquihalla,ProfileConstituency.aspx?Key=555&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Albrecht, Harold",ProfileMP.aspx?Key=170525&Language=E,Kitchener—Conestoga,ProfileConstituency.aspx?Key=602&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Alexander, Chris (Hon.)",ProfileMP.aspx?Key=170437&Language=E,Ajax—Pickering,ProfileConstituency.aspx?Key=397&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Allen, Malcolm ",ProfileMP.aspx?Key=170456&Language=E,Welland,ProfileConstituency.aspx?Key=483&Language=E,Ontario,NDP,http://www.ndp.ca/
"Allen, Mike ",ProfileMP.aspx?Key=170562&Language=E,Tobique—Mactaquac,ProfileConstituency.aspx?Key=332&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Allison, Dean",ProfileMP.aspx?Key=170444&Language=E,Niagara West—Glanbrook,ProfileConstituency.aspx?Key=445&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Ambler, Stella",ProfileMP.aspx?Key=170092&Language=E,Mississauga South,ProfileConstituency.aspx?Key=440&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Ambrose, Rona (Hon.)",ProfileMP.aspx?Key=170519&Language=E,Edmonton—Spruce Grove,ProfileConstituency.aspx?Key=526&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Anders, Rob",ProfileMP.aspx?Key=170305&Language=E,Calgary West,ProfileConstituency.aspx?Key=518&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Anderson, David",ProfileMP.aspx?Key=170577&Language=E,Cypress Hills—Grasslands,ProfileConstituency.aspx?Key=505&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Andrews, Scott",ProfileMP.aspx?Key=170649&Language=E,Avalon,ProfileConstituency.aspx?Key=302&Language=E,Newfoundland and Labrador,Liberal,http://www.liberal.ca/
"Angus, Charlie",ProfileMP.aspx?Key=170184&Language=E,Timmins—James Bay,ProfileConstituency.aspx?Key=478&Language=E,Ontario,NDP,http://www.ndp.ca/
"Armstrong, Scott",ProfileMP.aspx?Key=170629&Language=E,Cumberland—Colchester—Musquodoboit Valley,ProfileConstituency.aspx?Key=318&Language=E,Nova Scotia,Conservative,http://www.conservative.ca/
"Ashfield, Keith (Hon.)",ProfileMP.aspx?Key=170143&Language=E,Fredericton,ProfileConstituency.aspx?Key=325&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Ashton, Niki",ProfileMP.aspx?Key=170756&Language=E,Churchill,ProfileConstituency.aspx?Key=494&Language=E,Manitoba,NDP,http://www.ndp.ca/
"Aspin, Jay",ProfileMP.aspx?Key=170744&Language=E,Nipissing—Timiskaming,ProfileConstituency.aspx?Key=447&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Atamanenko, Alex",ProfileMP.aspx?Key=170732&Language=E,British Columbia Southern Interior,ProfileConstituency.aspx?Key=561&Language=E,British Columbia,NDP,http://www.ndp.ca/
